序号,trackId,标题,时长(秒),时长(小时),日期
1,660649742,"评论尼日尔与阿尔及利亚现状——2023年8月1日直播节选1",814,0.2,
2,660649949,"兰德公司关于乌克兰的报告——2023年8月1日直播节选3",1488,0.4,
3,660650409,"尼日尔政变的内外局势——2023年8月11日直播节选1",823,0.2,
4,667303526,"分散化是未来的趋势——2023年1月4日直播P1",2120,0.6,
5,667304891,"国民偶像大对决——2023年1月4日直播P2",2167,0.6,
6,667306903,"如何组织进攻（二）——2023年1月4日直播P4",2180,0.6,
7,668021298,"为了揭露而去制造新闻——2023年1月5日直播P1",2144,0.6,
8,668025754,"战术、战役和战略（一）——2023年1月5日直播P3",1602,0.4,
9,668686251,"战术、战役和战略（二）——2023年1月5日直播P4",2098,0.6,
10,668688388,"区域介止思路的优缺点——2023年1月6日直播P2",2209,0.6,
11,668688968,"温和派被逼成大魔王——2023年1月6日直播P3",1820,0.5,
12,672116692,"这可能是最后一战——2023年1月6日直播P4",1699,0.5,
13,672117905,"无视宏大叙事 最后会意识到躲不过——2023年1月8日直播P1",2081,0.6,
14,672119095,"火力密度更高的一方有优势——2023年1月8日直播P2",2107,0.6,
15,672120068,"现代战争最难啃的是不依赖现代化的群体——2023年1月8日直播P3",1936,0.5,
16,672121204,"客观评价自身——2023年1月8日直播P4",1638,0.5,
17,672123053,"兵棋推演很难模拟细节——2023年1月10日直播P1",2071,0.6,
18,672124211,"美军班排连级别的步兵战术值得研究——2023年1月10日直播P2",2155,0.6,
19,672131101,"坦克的关键在战役运用和观瞄——2023年1月10日直播P3",1825,0.5,
20,672131963,"只要行动够快 保密差点也没事——2023年1月10日直播P4",1602,0.4,
21,672133709,"以色列当今派系的起源——2023年1月11日直播P1",1957,0.5,
22,672134363,"赢赢赢然后输光光——2023年1月11日直播P2",2154,0.6,
23,672139072,"进攻作战中依旧需要数量优势——2023年1月13日直播P1",2112,0.6,
24,672139522,"现代战争中全线进攻是有必要的——2023年1月13日直播P2",1742,0.5,
25,672140023,"伊朗人对于军队的理解和很多人就不一样——2023年1月13日直播P3",1956,0.5,
26,672143062,"一味争夺道德制高点 最后一定变魔怔——2023年1月16日直播P1",2119,0.6,
27,679323034,"缺乏现代生活而士气低落？——2023年1月16日直播P2",1801,0.5,
28,679337539,"巡飞弹是个好东西——2023年1月18日直播P1",2069,0.6,
29,680541385,"地缘利益还是价值观？——2023年1月18日直播P2",1954,0.5,
30,680541473,"霸主没了不代表全球化的中断——2023年1月18日直播P3",1984,0.6,
31,680541532,"伊朗不是一夜之间发展起来的——2023年1月20日直播",1912,0.5,
32,680797256,"新年夜直播闲聊——2023年1月21日直播P1",2166,0.6,
33,680797517,"星战可以拍斯塔克超空间战争——2023年1月21日直播P2",2189,0.6,
34,680797654,"未来俄军会从何处渡过第聂伯河——2023年1月21日直播P3",1800,0.5,
35,680797834,"坦克没那么坚固 但也比没有好——2023年1月27日直播P1",1961,0.5,
36,680798076,"北约的主要问题是缺乏决心——2023年1月27日直播P2",1993,0.6,
37,680798281,"游戏业界可能正经历艰难的时期——2023年1月27日直播P3",1877,0.5,
38,680798438,"闲聊明清军队——2023年1月27日直播P4",1170,0.3,
39,680798662,"杰宁冲突加剧——2023年1月28日直播P1",2171,0.6,
40,680798856,"回顾数月以来以色列的冲突（一）——2023年1月28日直播P2",2025,0.6,
41,680799109,"回顾数月以来以色列的冲突（二）——2023年1月28日直播P3",1891,0.5,
42,680799284,"星战前传不完美 但大方向没错——2023年1月30日直播P1",1736,0.5,
43,680799462,"反炮兵未必要用炮兵——2023年1月30日直播P2",1895,0.5,
44,680799682,"当代的核战风险是冷战以来最高峰——2023年1月30日直播P3",1968,0.5,
45,680799867,"总动员不适合现代战争——2023年1月30日直播P4",1739,0.5,
46,680800034,"乌克兰军哪些方面做得比较好——2023年1月30日直播P5",1337,0.4,
47,683712437,"2023年2月24日俄乌开战一周年回顾P1",3578,1.0,
48,683713017,"2023年2月24日俄乌开战一周年回顾P2",2821,0.8,
49,683713331,"游戏前的闲聊——2023年2月3日直播节选",1116,0.3,
50,683713821,"游戏结束后闲聊游戏——2023年2月4日直播P1",1940,0.5,
51,683714260,"乌克兰游击战的可能性——2023年2月4日直播P2",2090,0.6,
52,683714374,"《魔咒之地》结束后的闲聊——2023年2月6日直播节选",834,0.2,
53,683715072,"游戏开始前的聊天——2023年2月7日直播节选",1751,0.5,
54,683715620,"未来的大规模动员可能是进厂打螺丝——2023年2月9日直播P1",1689,0.5,
55,687661825,"对讨论的话题要有严肃的态度——2023年2月9日直播P2",2091,0.6,
56,687662627,"军事研究当然是随战争同时进行的——2023年2月9日直播P3",2125,0.6,
57,687663325,"蠢的人把坏的人带跑了——2023年2月9日直播P4",2170,0.6,
58,687663894,"勇气的核心是直面并解决问题——2023年2月10日直播节选",2179,0.6,
59,687664561,"俄亥俄有害化学品泄露事件——2023年2月13日直播P1",2229,0.6,
60,687665088,"吃下这个你就只想着安息日了——2023年2月13日直播P2",2151,0.6,
61,687665503,"上一代游戏人精神可能在欧美以外传承——2023年2月14日直播P1",1342,0.4,
62,687666647,"宁可得罪英法 也不愿埃及倒向苏联——2023年2月14日直播P2",2242,0.6,
63,687667470,"北约军工生产赶不上消耗速度——2023年2月14日直播P3",2099,0.6,
64,687668071,"简单复盘俄亥俄化学泄露事件——2023年2月14日直播P4",2154,0.6,
65,687668608,"俄军策略何时从穿插包围变为持久战——2023年2月16日直播P1",2166,0.6,
66,687669067,"品鉴战锤3预告片——2023年2月16日直播P2",2057,0.6,
67,687669511,"大计划就是QAnon——2023年2月16日直播P3",1986,0.6,
68,691031610,"话语权只在对方犹豫不决时有用——2023年2月18日直播P1",2159,0.6,
69,691032034,"因为内部问题使得体量大的一方没法尽全力—2023年2月18日直播P2",2078,0.6,
70,691032363,"把抵抗之弧团结在一起的是利益——2023年2月18日直播P3",1830,0.5,
71,691032623,"麦卡锡是艾森豪威尔的黑手套——2023年2月19日直播P1",1666,0.5,
72,691032861,"拜登接手的是一套烂摊子——2023年2月19日直播P2",1807,0.5,
73,691033019,"世界公民还是润人？——2023年2月19日直播P3",1403,0.4,
74,691033298,"今晚是原友之夜——2023年2月21日直播P1",1676,0.5,
75,691033794,"原子之心 启动——2023年2月21日直播P2",1492,0.4,
76,691034074,"俄乌战争实况与预测的偏差—2023年2月24日直播P1",1386,0.4,
77,691034247,"巴赫穆特都是动员兵 精锐在后方？—2023年2月24日直播P2",1232,0.3,
78,691034558,"特别军事行动一周年复盘（上）——2023年2月24日直播P1",2218,0.6,
79,691034906,"特别军事行动一周年复盘（中）——2023年2月24日直播P2",1919,0.5,
80,691035078,"特别军事行动一周年复盘（下）——2023年2月24日直播P3",1145,0.3,
81,693333053,"阿尔及利亚最近的军费高得吓人—2023年3月1日直播P1",1637,0.5,
82,693333464,"法国天兵会在西非下场吗？—2023年3月1日直播P2",1999,0.6,
83,693333874,"这个话题没什么好聊的—2023年3月1日直播P3",1514,0.4,
84,693334154,"特别军事行动一周年番外（上）——2023年3月2日直播P2",1744,0.5,
85,693334457,"特别军事行动一周年番外（下）——2023年3月2日直播P2",1626,0.5,
86,693334836,"卧龙 卧龙 卧龙—2023年3月2日直播P1",2076,0.6,
87,693335199,"北约产能不足并非爆肝能解决的—2023年3月2日直播P2",1822,0.5,
88,693335373,"读报告 《FY 2022年度报告》——2023年3月8日直播P1",1554,0.4,
89,693335550,"边读报告边闲聊——2023年3月8日直播P2",1825,0.5,
90,693335752,"接着报告接着聊——2023年3月8日直播P3",2090,0.6,
91,693335958,"不读报告了 咱们聊天——2023年3月8日直播P4",2047,0.6,
92,693336128,"弄清自己的基本盘是什么——2023年3月8日直播P5",1439,0.4,
93,693336302,"谁撑到最后谁算赢——2023年3月8日直播P6",1826,0.5,
94,693336696,"不排除北约在乌克兰之外对俄罗斯施压——2023年3月10日直播P1",1845,0.5,
95,693337415,"走欧美的路 让欧美无路可走——2023年3月10日直播P2",1810,0.5,
96,693337904,"中东是个绕不开的节点——2023年3月10日直播P3",1780,0.5,
97,693338013,"读报告 《避免长期战争：美国政策与俄乌冲突轨迹》",1313,0.4,
98,693338332,"理论上的第四权 实际也是喉舌——2023年3月11日直播P1",1822,0.5,
99,693338721,"鼓吹开疆拓土的人是否有明确的目标和规划——2023年3月11日直播P2",1864,0.5,
100,693339056,"美国海军并不够用——2023年3月11日直播P3",1861,0.5,
101,693339264,"未来海军发展 大舰更大 小舰更小——2023年3月11日直播P4",1557,0.4,
102,693339804,"美国的核潜艇产量自己都吃不够——2023年3月14日直播P1",2021,0.6,
103,693340257,"想要完全无后勤压力只能用石头和木棍了——2023年3月14日直播P2",1730,0.5,
